"locale","skeleton_0","pattern_0","skeleton_1","pattern_1","skeleton_2","pattern_2","skeleton_3","pattern_3","skeleton_4","pattern_4"
"af","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE d MMM","Hm","HH:mm","hm","h:mm a"
"ak","MMMMy","MMMM y","EMMMMdy","EEE, MMMM d, y","EMMMd","EEE, MMM d","Hm","HH:mm","hm","h:mm a"
"am","MMMMy","MMMM y","EMMMMdy","EEE ፣d MMMM y","EMMMd","EEE፣ MMM d","Hm","HH:mm","hm","h:mm a"
"ar","MMMMy","MMMM y","EMMMMdy","EEE، d MMMM، y","EMMMd","EEE، d MMM","Hm","HH:mm","hm","h:mm a"
"as","MMMMy","y MMMM","EMMMMdy","y MMMM d, EEE","EMMMd","MMM d, EEE","Hm","HH:mm","hm","h:mm a"
"az","MMMMy","MMMM y","EMMMMdy","d MMMM y, EEE","EMMMd","d MMM, EEE","Hm","HH:mm","hm","h:mm a"
"az-rAZ","MMMMy","y MMMM","EMMMMdy","d MMMM y, EEE","EMMMd","d MMM, EEE","Hm","HH:mm","hm","h:mm a"
"be","MMMMy","LLLL y","EMMMMdy","EEE, d MMMM y 'г'.","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"bg","MMMMy","MMMM y 'г'.","EMMMMdy","EEE, d MMMM y 'г'.","EMMMd","EEE, d.MM","Hm","H:mm","hm","h:mm a"
"bm","MMMMy","MMMM y","EMMMMdy","EEE d MMMM y","EMMMd","EEE d MMM","Hm","HH:mm","hm","h:mm a"
"bn","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM, y","EMMMd","EEE d MMM","Hm","HH:mm","hm","h:mm a"
"bo","MMMMy","y MMMM","EMMMMdy","y MMMMའི་ཚེས་d, EEE","EMMMd","MMMཚེས་d, EEE","Hm","HH:mm","hm","h:mm a"
"br","MMMMy","y MMMM","EMMMMdy","y MMMM d, EEE","EMMMd","EEE d MMM","Hm","HH:mm","hm","h:mm a"
"bs","MMMMy","LLLL y.","EMMMMdy","EEE, d. MMMM y.","EMMMd","EEE, d. MMM","Hm","HH:mm","hm","hh:mm a"
"bs-rBA","MMMMy","y MMMM","EMMMMdy","EEE, dd. MMMM y.","EMMMd","EEE, dd. MMM","Hm","HH:mm","hm","hh:mm a"
"ca","MMMMy","LLLL 'de' y","EMMMMdy","EEE, d MMMM 'de' y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"ce","MMMMy","y MMMM","EMMMMdy","y MMMM d, EEE","EMMMd","MMM d, EEE","Hm","HH:mm","hm","h:mm a"
"cs","MMMMy","LLLL y","EMMMMdy","EEE d. MMMM y","EMMMd","EEE d. M.","Hm","H:mm","hm","h:mm a"
"cy","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"da","MMMMy","MMMM y","EMMMMdy","EEE 'den' d. MMMM y","EMMMd","EEE d. MMM","Hm","HH.mm","hm","h.mm a"
"de","MMMMy","MMMM y","EMMMMdy","EEE, d. MMMM y","EMMMd","EEE, d. MMM","Hm","HH:mm","hm","h:mm a"
"dz","MMMMy","y MMMM","EMMMMdy","གཟའ་EEE, ལོy ཟླ་MMMM ཚེ་d","EMMMd","EEE, སྤྱི་LLL ཚེ་d","Hm","HH:mm","hm","h:mm a"
"ee","MMMMy","MMMM y","EMMMMdy","EEE, MMMM d 'lia' y","EMMMd","EEE, MMM d 'lia'","Hm","HH:mm","hm","a 'ga' h:mm"
"el","MMMMy","LLLL y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en","MMMMy","MMMM y","EMMMMdy","EEE, MMMM d, y","EMMMd","EEE, MMM d","Hm","HH:mm","hm","h:mm a"
"en-rAG","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rAI","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rAT","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rAU","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rBB","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rBE","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rBM","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rBS","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rBW","MMMMy","MMMM y","EMMMMdy","EEE, dd MMMM y","EMMMd","EEE, dd MMM","Hm","HH:mm","hm","h:mm a"
"en-rBZ","MMMMy","MMMM y","EMMMMdy","EEE, dd MMMM y","EMMMd","EEE, dd MMM","Hm","HH:mm","hm","h:mm a"
"en-rCC","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rCH","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rCK","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rCM","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rCX","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rCY","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rDE","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rDG","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rDK","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH.mm","hm","h.mm a"
"en-rDM","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rER","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rFI","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","H.mm","hm","h.mm a"
"en-rFJ","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rFK","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rFM","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rGB","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE d MMM","Hm","HH:mm","hm","h:mm a"
"en-rGD","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rGG","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rGH","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rGI","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rGM","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rGY","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rHK","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rIE","MMMMy","MMMM y","EMMMMdy","EEE d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rIL","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","H:mm","hm","h:mm a"
"en-rIM","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rIN","MMMMy","MMMM y","EMMMMdy","EEE d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rIO","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rJE","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rJM","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rKE","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rKI","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rKN","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rKY","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rLC","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rLR","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rLS","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rMG","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rMO","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rMS","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rMT","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rMU","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rMW","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rMY","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rNA","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rNF","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rNG","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rNL","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rNR","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rNU","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rNZ","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rPG","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rPH","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rPK","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rPN","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rPW","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rRW","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rSB","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rSC","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rSD","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rSE","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rSG","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rSH","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rSI","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rSL","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rSS","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rSX","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rSZ","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rTC","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rTK","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rTO","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rTT","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rTV","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rTZ","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rUG","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rVC","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rVG","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rVU","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rWS","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rXA","MMMMy","[MMMM y]","EMMMMdy","[EEE, MMMM d, y]","EMMMd","[EEE, MMM d]","Hm","[HH:mm]","hm","[h:mm a]"
"en-rZA","MMMMy","MMMM y","EMMMMdy","EEE, dd MMMM y","EMMMd","EEE, dd MMM","Hm","HH:mm","hm","h:mm a"
"en-rZM","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rZW","MMMMy","MMMM y","EMMMMdy","EEE, dd MMMM, y","EMMMd","EEE, dd MMM","Hm","HH:mm","hm","h:mm a"
"eo","MMMMy","y MMMM","EMMMMdy","EEE, d-'a' 'de' MMMM y","EMMMd","MMM d, EEE","Hm","HH:mm","hm","h:mm a"
"es","MMMMy","MMMM 'de' y","EMMMMdy","EEE, d 'de' MMMM 'de' y","EMMMd","EEE, d MMM","Hm","H:mm","hm","h:mm a"
"es-rAR","MMMMy","MMMM 'de' y","EMMMMdy","EEE, d 'de' MMMM 'de' y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"es-rBO","MMMMy","MMMM 'de' y","EMMMMdy","EEE, d 'de' MMMM 'de' y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"es-rBR","MMMMy","MMMM 'de' y","EMMMMdy","EEE, d 'de' MMMM 'de' y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"es-rCL","MMMMy","MMMM 'de' y","EMMMMdy","EEE, d 'de' MMMM 'de' y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"es-rCO","MMMMy","MMMM 'de' y","EMMMMdy","EEE, d 'de' MMMM 'de' y","EMMMd","EEE, d 'de' MMM","Hm","H:mm","hm","h:mm a"
"es-rCR","MMMMy","MMMM 'de' y","EMMMMdy","EEE, d 'de' MMMM 'de' y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"es-rCU","MMMMy","MMMM 'de' y","EMMMMdy","EEE, d 'de' MMMM 'de' y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
